movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Christmas Eve,5.1,2015,PG,Comedy,Mitch Davis,Gary Cole,Comedy,95.0,Comedy,,,,,,,,1,2010,Average,Medium
Running Forever,8.6,2015,R,Family,Mike Mayhall,David Raizor,Family,88.0,Family,,,,,,,,1,2010,Excellent,Short
Navy Seals vs. Zombies,3.4,2015,R,Action,Stanton Barrett,Mikal Vega,"Action, Horror",97.0,Action,Horror,,,,,,,2,2010,Poor,Medium
R.L. Stines Monsterville: The Cabinet of Souls,5.9,2015,PG,Comedy,Peter DeLuise,Katherine McNamara,Comedy,85.0,Comedy,,,,,,,,1,2010,Average,Short
Maggie,5.6,2015,PG-13,Drama,Henry Hobson,Joely Richardson,"Drama, Horror",95.0,Drama,Horror,,,,,,,2,2010,Average,Medium
The Boy Next Door,4.6,2015,R,Mystery,Rob Cohen,Ryan Guzman,"Mystery, Thriller",91.0,Mystery,Thriller,,,,,,,2,2010,Poor,Medium
Zipper,5.7,2015,R,Drama,Mora Stephens,Ray Winstone,"Drama, Thriller",103.0,Drama,Thriller,,,,,,,2,2010,Average,Medium
Chain of Command,3.5,2015,R,Action,Kevin Carraway,Michael Jai White,"Action, Thriller",88.0,Action,Thriller,,,,,,,2,2010,Poor,Short
The Witch,6.8,2015,R,Horror,Robert Eggers,Julian Richings,"Horror, Mystery",92.0,Horror,Mystery,,,,,,,2,2010,Average,Medium
Time to Choose,7.0,2015,R,Documentary,Charles Ferguson,Jane Goodall,Documentary,100.0,Documentary,,,,,,,,1,2010,Average,Medium
Slow West,6.9,2015,R,Western,John Maclean,Michael Fassbender,Western,84.0,Western,,,,,,,,1,2010,Average,Short
Demonic,5.3,2015,R,Horror,Will Canon,Frank Grillo,"Horror, Thriller",83.0,Horror,Thriller,,,,,,,2,2010,Average,Short
